# type=browses viewport=1280x720 sections=8 max_scroll=500
t,dx,dy,scroll_y
0.01,0,0,0
0.029,-1,-1,0
0.041,-1,-2,0
0.057,-1,-3.1,0
0.074,-1,-4.1,0
0.091,-1,-4.1,0
0.107,-1,-5.1,0
0.124,-1,-5.1,0
0.143,-1,-5.1,0
0.41,-1,-6.1,0
0.416,-1,-6.1,0
0.428,-1,-6.1,0
0.453,-1,-7.1,0
0.457,-1,-8.2,0
0.473,-1,-9.2,0
0.49,-2,-11.2,0
0.508,-2,-12.3,0
0.524,-3.1,-14.3,0
0.54,-4.1,-17.4,0
0.557,-6.1,-22.5,0
0.575,-8.2,-27.6,0
0.591,-9.2,-33.7,0
0.609,-10.2,-36.8,0
0.626,-10.2,-41.9,0
0.64,-11.2,-47,0
0.657,-11.2,-54.1,0
0.674,-11.2,-57.2,0
0.691,-11.2,-60.3,0
0.708,-11.2,-62.3,0
0.725,-11.2,-63.3,0
0.741,-10.2,-63.3,0
1.044,-10.2,-63.3,1
1.061,-10.2,-63.3,5
1.086,-10.2,-63.3,9
1.092,-10.2,-63.3,9
1.11,-10.2,-63.3,11
1.127,-10.2,-63.3,7
1.143,-10.2,-63.3,6
1.16,-10.2,-63.3,5
1.177,-10.2,-63.3,3
1.193,-10.2,-63.3,2
1.21,-10.2,-63.3,2
1.226,-10.2,-63.3,3
1.244,-10.2,-63.3,3
1.26,-10.2,-63.3,3
1.276,-10.2,-63.3,2
1.293,-10.2,-63.3,2
1.311,-10.2,-63.3,1
1.327,-10.2,-63.3,1
1.502,-10.2,-63.3,0
1.51,-5.1,-63.3,0
1.528,2,-63.3,0
1.548,20.4,-63.3,0
1.559,42.9,-63.3,0
1.575,89.9,-63.3,0
1.592,124.6,-63.3,0
1.607,169.6,-62.3,0
1.624,194.1,-62.3,0
1.64,210.4,-62.3,0
1.657,221.7,-63.3,0
1.673,231.9,-64.3,0
1.691,236,-65.4,0
1.709,241.1,-66.4,0
1.725,242.1,-66.4,0
1.977,242.1,-66.4,1
1.995,242.1,-66.4,3
2.012,242.1,-66.4,6
2.034,242.1,-66.4,12
2.042,242.1,-66.4,15
2.06,242.1,-66.4,22
2.077,242.1,-66.4,16
2.093,242.1,-66.4,14
2.109,242.1,-66.4,12
2.126,242.1,-66.4,9
2.143,242.1,-66.4,7
2.159,242.1,-66.4,9
2.176,242.1,-66.4,8
2.193,242.1,-66.4,8
2.21,242.1,-66.4,8
2.227,242.1,-66.4,6
2.243,242.1,-66.4,4
2.254,242.1,-66.4,7
2.27,242.1,-66.4,7
2.287,242.1,-66.4,7
2.304,242.1,-66.4,7
2.32,242.1,-66.4,7
2.337,242.1,-66.4,7
2.354,242.1,-66.4,8
2.371,242.1,-66.4,7
2.387,242.1,-66.4,6
2.404,242.1,-66.4,6
2.42,242.1,-66.4,5
2.468,242.1,-66.4,0
2.476,243.1,-65.4,0
2.492,244.2,-64.3,0
2.508,247.2,-60.3,0
2.528,249.3,-56.2,0
2.541,253.3,-50,0
2.557,256.4,-41.9,0
2.574,263.6,-31.7,0
2.59,267.6,-24.5,0
2.606,270.7,-19.4,0
2.625,274.8,-14.3,0
2.64,280.9,-8.2,0
2.657,286,-5.1,0
2.675,293.2,-4.1,0
2.692,301.4,-3.1,0
2.708,310.6,-3.1,0
2.724,314.6,-3.1,0
2.977,315,-3.1,1
2.994,315,-3.1,4
3.018,315,-3.1,7
3.026,315.1,-3.1,7
3.044,315.1,-3.1,11
3.06,315.1,-3.1,16
3.077,315.1,-3.1,17
3.093,315.1,-3.1,14
3.11,315.2,-3.1,13
3.127,315.2,-3.1,11
3.143,315.2,-3.1,9
3.158,315.2,-3.1,7
3.176,315.3,-3.1,6
3.192,315.3,-3.1,6
3.209,315.3,-3.1,6
3.225,315.3,-3.1,5
3.242,315.4,-3.1,5
3.246,315.4,-3.1,7
3.26,315.4,-3.1,7
3.278,315.4,-3.1,7
3.295,315.4,-3.1,7
3.311,315.5,-3.1,7
3.327,315.5,-3.1,7
3.345,315.5,-3.1,8
3.361,315.5,-3.1,7
3.378,315.5,-3.1,6
3.459,315.7,-3.1,0
3.468,316.7,-3.1,0
3.477,319.7,-3.1,0
3.491,321.8,-3.1,0
3.514,327.9,0,0
3.526,336.1,3.1,0
3.542,344.3,6.1,0
3.559,353.5,10.2,0
3.575,365.7,15.3,0
3.592,371.8,18.4,0
3.609,378,20.4,0
3.627,381,22.5,0
3.642,384.1,23.5,0
3.659,385.1,24.5,0
3.675,385.1,25.5,0
4.11,385.1,25.5,1
4.112,385.1,25.5,1
4.133,385.1,25.5,1
4.15,385.1,25.5,1
4.16,385.1,25.5,1
4.176,385.1,25.5,1
4.243,385.1,25.5,-1
4.26,385.1,25.5,-2
4.277,385.1,25.5,-2
4.294,385.1,25.5,-2
4.31,385.1,25.5,-2
4.326,385.1,25.5,-2
4.343,385.1,25.5,-2
4.36,385.1,25.5,-2
4.376,385.1,25.5,-2
4.393,385.1,25.5,-2
4.409,385.1,25.5,-2
4.426,385.1,25.5,-2
4.444,385.1,25.5,-2
4.459,385.1,25.5,-2
4.476,385.1,25.5,-3
4.494,385.1,25.5,-2
4.511,385.1,25.5,-2
4.525,385.1,25.5,-2
4.542,385.1,25.5,-2
4.559,385.1,25.5,-2
4.575,385.1,25.5,-2
4.592,385.1,25.5,-3
4.609,385.1,25.5,-3
4.626,385.1,25.5,-3
4.642,385.1,25.5,-3
4.659,385.1,25.5,-4
4.676,385.1,25.5,-5
4.693,385.1,25.5,-6
4.71,385.1,25.5,-6
4.726,385.1,25.5,-7
4.743,385.1,25.5,-7
4.76,385.1,25.5,-5
4.764,385.1,25.5,-7
4.779,385.1,25.5,-7
4.796,385.1,25.5,-7
4.813,385.1,25.5,-7
4.83,385.1,25.5,-7
4.846,385.1,25.5,-7
4.863,385.1,25.5,-8
4.879,385.1,25.5,-7
4.896,385.1,25.5,-6
4.913,385.1,25.5,-6
4.929,385.1,25.5,-5
4.946,385.1,25.5,-5
4.963,385.1,25.5,-5
4.979,385.1,25.5,-4
4.996,385.1,25.5,-4
5.013,385.1,25.5,-4
5.029,385.1,25.5,-3
5.046,385.1,25.5,-3
5.063,385.1,25.5,-3
5.079,385.1,25.5,-3
5.096,385.1,25.5,-2
5.112,385.1,25.5,-2
5.129,385.1,25.5,-2
5.277,385.1,25.5,-1
5.294,385.1,25.5,-4
5.312,385.1,25.5,-8
5.335,385.1,25.5,-9
5.342,385.1,25.5,-9
5.36,385.1,25.5,-9
5.376,385.1,25.5,-5
5.392,385.1,25.5,-5
5.41,385.1,25.5,-4
5.426,385.1,25.5,-3
5.443,385.1,25.5,-3
5.459,385.1,25.5,-2
5.476,385.1,25.5,-2
5.493,385.1,25.5,-3
5.509,385.1,25.5,-3
5.527,385.1,25.5,-4
5.543,385.1,25.5,-4
5.559,385.1,25.5,-5
5.575,385.1,25.5,-5
5.592,385.1,25.5,-5
5.609,385.1,25.5,-5
5.626,385.1,25.5,-5
5.642,385.1,25.5,-5
5.659,385.1,25.5,-4
5.677,385.1,25.5,-4
5.693,385.1,25.5,-3
5.71,385.1,25.5,-2
6.027,385.1,25.5,-1
6.029,385.1,25.5,-1
6.045,385.1,25.5,-6
6.066,385.1,25.5,-8
6.077,385.1,25.5,-8
6.093,385.1,25.5,-11
6.11,385.1,25.5,-9
6.126,385.1,25.5,-7
6.143,385.1,25.5,-5
6.16,385.1,25.5,-5
6.177,385.1,25.5,-4
6.194,385.1,25.5,-3
6.21,385.1,25.5,-3
6.228,385.1,25.5,-2
6.243,385.1,25.5,-2
6.259,385.1,25.5,-2
6.277,385.1,25.5,-2
6.294,385.1,25.5,-2
6.31,385.1,25.5,-2
6.326,385.1,25.5,-3
6.344,385.1,25.5,-2
6.36,385.1,25.5,-2
6.377,385.1,25.5,-2
6.393,385.1,25.5,-2
6.41,385.1,25.5,-1
6.426,385.1,25.5,-1
6.443,385.1,25.5,-1
6.46,385.1,25.5,-1
6.477,385.1,25.5,-2
6.493,385.1,25.5,-2
6.51,385.1,25.5,-2
6.527,385.1,25.5,-3
6.543,385.1,25.5,-3
6.561,385.1,25.5,-3
6.578,385.1,25.5,-3
6.593,385.1,25.5,-3
6.61,385.1,25.5,-3
6.626,385.1,25.5,-3
6.643,385.1,25.5,-3
6.66,385.1,25.5,-2
6.676,385.1,25.5,-1
6.693,385.1,25.5,-1
6.71,385.1,25.5,-2
6.726,385.1,25.5,-2
6.743,385.1,25.5,-2
6.76,385.1,25.5,-2
6.778,385.1,25.5,-2
6.792,385.1,25.5,-2
6.81,385.1,25.5,-2
6.825,385.1,25.5,-2
6.843,385.1,25.5,-2
6.86,385.1,25.5,-2
6.876,385.1,25.5,-1
6.892,385.1,25.5,-1
6.91,385.1,25.5,-2
6.927,385.1,25.5,-2
6.943,385.1,25.5,-2
6.96,385.1,25.5,-2
6.976,385.1,25.5,-2
6.992,385.1,25.5,-2
7.01,385.1,25.5,-2
7.027,385.1,25.5,-2
7.043,385.1,25.5,-2
7.059,385.1,25.5,-1
7.076,385.1,25.5,-1
7.376,385.1,25.5,-1
7.397,385.1,25.5,-2
7.41,385.1,25.5,-6
7.442,385.1,25.5,-7
7.461,385.1,25.5,-10
7.477,385.1,25.5,-8
7.493,385.1,25.5,-4
7.51,385.1,25.5,-3
7.526,385.1,25.5,-2
7.543,385.1,25.5,-2
7.56,385.1,25.5,-2
7.576,385.1,25.5,-1
7.594,385.1,25.5,-1
7.61,385.1,25.5,-1
7.627,385.1,25.5,-2
7.642,385.1,25.5,-2
7.66,385.1,25.5,-2
7.676,385.1,25.5,-2
7.693,385.1,25.5,-2
7.71,385.1,25.5,-3
7.726,385.1,25.5,-3
7.741,385.1,25.5,-3
