# type=drags viewport=1280x720 start=531,424 end=619,416 mousedown_t=1.503
t,rx,ry
0,0.6516,0.0349
0.018,0.6167,0.0349
0.033,0.5934,0.0349
0.049,0.5701,0.0349
0.066,0.5469,0.0233
0.083,0.512,0.0116
0.099,0.4887,0
0.117,0.4422,-0.0116
0.133,0.4072,-0.0116
0.149,0.3607,-0.0233
0.166,0.3258,-0.0233
0.184,0.2793,-0.0233
0.2,0.2443,-0.0233
0.217,0.2327,-0.0349
0.234,0.2327,-0.0349
0.249,0.2211,-0.0349
0.267,0.2211,-0.0349
0.283,0.2211,-0.0349
0.301,0.2094,-0.0349
0.316,0.2094,-0.0349
0.333,0.1978,-0.0349
0.349,0.1978,-0.0349
0.367,0.1862,-0.0349
0.383,0.1862,-0.0349
0.401,0.1862,-0.0349
0.432,0.1862,-0.0349
0.436,0.1745,-0.0349
0.45,0.1745,-0.0349
0.467,0.1629,-0.0349
0.482,0.1396,-0.0349
0.499,0.128,-0.0465
0.515,0.1047,-0.0465
0.532,0.0814,-0.0582
0.55,0.0698,-0.0582
0.569,0.0698,-0.0582
0.586,0.0582,-0.0698
0.6,0.0582,-0.0698
0.616,0.0465,-0.0698
0.633,0.0465,-0.0814
0.649,0.0465,-0.0814
0.667,0.0465,-0.0931
0.682,0.0465,-0.0931
0.702,0.0465,-0.1047
0.741,0.0465,-0.1047
0.919,0.0349,-0.1047
0.926,0.0349,-0.1047
0.939,0.0349,-0.1047
0.964,0.0233,-0.1047
0.989,0.0233,-0.0931
1.004,0.0233,-0.0931
1.028,0.0233,-0.0931
1.045,0.0233,-0.0931
1.053,0.0233,-0.0931
1.066,0.0233,-0.0814
1.085,0.0116,-0.0814
1.1,0.0116,-0.0814
1.116,0.0116,-0.0698
1.135,0,-0.0582
1.149,0,-0.0465
1.166,0,-0.0349
1.182,0,-0.0233
1.199,0,-0.0116
1.216,0,-0.0116
1.244,0,-0.0116
1.293,0,0
1.325,0,0
1.367,0,0
1.503,0,0
1.668,0,0
1.686,0.0116,0
1.701,0.0349,0
1.726,0.0698,-0.0116
1.734,0.1047,-0.0233
1.752,0.1396,-0.0233
1.769,0.1745,-0.0349
1.784,0.2094,-0.0465
1.8,0.2327,-0.0465
1.817,0.2443,-0.0582
1.834,0.2443,-0.0582
1.85,0.256,-0.0582
1.886,0.256,-0.0582
1.902,0.2676,-0.0582
1.917,0.2909,-0.0698
1.936,0.3142,-0.0698
1.95,0.3491,-0.0814
1.967,0.3956,-0.0931
1.983,0.4305,-0.1047
2,0.4771,-0.1163
2.018,0.512,-0.1163
2.035,0.5469,-0.128
2.051,0.5818,-0.1396
2.067,0.5934,-0.1396
2.086,0.6051,-0.1512
2.102,0.6167,-0.1512
2.151,0.6283,-0.1512
2.169,0.6283,-0.1512
2.183,0.64,-0.1512
2.2,0.6632,-0.1512
2.217,0.6981,-0.1629
2.234,0.7447,-0.1629
2.25,0.7796,-0.1745
2.268,0.8145,-0.1745
2.284,0.8261,-0.1745
2.301,0.8378,-0.1745
2.317,0.8378,-0.1745
2.486,0.8494,-0.1745
2.503,0.8494,-0.1745
2.518,0.861,-0.1745
2.543,0.8727,-0.1745
2.551,0.8843,-0.1745
2.567,0.8843,-0.1745
2.584,0.8959,-0.1745
2.619,0.8959,-0.1745
2.636,0.8959,-0.1745
2.651,0.9076,-0.1745
2.669,0.9076,-0.1745
2.686,0.9076,-0.1861
2.702,0.9192,-0.1861
2.719,0.9192,-0.1861
2.734,0.9308,-0.1978
2.751,0.9308,-0.1978
2.767,0.9425,-0.1978
2.784,0.9425,-0.1978
2.801,0.9541,-0.2094
2.819,0.9658,-0.2094
2.834,0.989,-0.2094
2.85,1.0007,-0.221
2.869,1.0123,-0.221
2.885,1.0239,-0.221
2.902,1.0356,-0.221
3.035,1.0356,-0.221
3.059,1.0356,-0.221
3.069,1.0239,-0.221
3.088,1.0239,-0.221
3.103,1.0123,-0.2094
3.118,1.0123,-0.2094
3.151,1.0123,-0.2094
3.503,1.0007,-0.2094
3.521,1.0123,-0.2094
3.534,1.0123,-0.221
3.553,1.0123,-0.221
