# type=drags viewport=1280x720 start=96,332 end=1178,360
t,rx,ry
0,0,0
0.011,0,0.0009
0.023,0,0.0019
0.04,-0.0009,0.0047
0.056,-0.0019,0.0066
0.074,-0.0019,0.0076
0.09,-0.0028,0.0104
0.106,-0.0038,0.0132
0.122,-0.0038,0.0142
0.139,-0.0038,0.0161
0.156,-0.0038,0.017
0.176,-0.0047,0.0179
0.191,-0.0047,0.0179
0.206,-0.0047,0.0189
0.224,-0.0047,0.0189
0.343,-0.0047,0.0189
0.352,-0.0047,0.0198
0.36,-0.0057,0.0208
0.373,-0.0057,0.0217
0.391,-0.0057,0.0236
0.407,-0.0057,0.0255
0.424,-0.0057,0.0264
0.44,-0.0057,0.0293
0.458,-0.0028,0.0312
0.474,0.0009,0.0349
0.49,0.0028,0.0378
0.507,0.0094,0.0425
0.523,0.0151,0.0463
0.539,0.0189,0.0482
0.556,0.0236,0.0491
0.573,0.0264,0.05
0.59,0.0283,0.05
0.606,0.0293,0.05
0.623,0.0302,0.05
0.859,0.0312,0.05
0.862,0.0331,0.05
0.875,0.0359,0.05
0.89,0.0444,0.0491
0.906,0.0586,0.0472
0.922,0.0803,0.0444
0.939,0.0982,0.0425
0.956,0.1181,0.0406
0.973,0.1351,0.0387
0.99,0.1492,0.0368
1.006,0.1719,0.033
1.024,0.1842,0.0312
1.04,0.1993,0.0293
1.058,0.2106,0.0283
1.073,0.222,0.0264
1.089,0.2276,0.0255
1.106,0.2286,0.0255
1.335,0.2286,0.0255
1.342,0.2314,0.0255
1.359,0.2361,0.0255
1.373,0.2475,0.0255
1.39,0.273,0.0255
1.407,0.323,0.0264
1.424,0.34,0.0274
1.44,0.374,0.0293
1.456,0.4052,0.0293
1.472,0.4449,0.0246
1.489,0.4685,0.0189
1.506,0.4902,0.0123
1.522,0.5053,0.0085
1.539,0.5223,0.0057
1.556,0.5384,0.0057
1.574,0.5506,0.0057
1.59,0.561,0.0057
1.607,0.5752,0.0113
1.623,0.5799,0.0132
1.641,0.5884,0.0179
1.659,0.5931,0.0208
1.673,0.5998,0.0236
1.982,0.6007,0.0236
1.991,0.6054,0.0236
2.008,0.612,0.0227
2.024,0.63,0.0208
2.04,0.6715,0.0198
2.056,0.7008,0.0198
2.072,0.7358,0.0198
2.092,0.7698,0.0217
2.107,0.7972,0.0227
2.123,0.8217,0.0246
2.139,0.8368,0.0246
2.157,0.8529,0.0255
2.174,0.8652,0.0255
2.189,0.8746,0.0255
2.207,0.8878,0.0255
2.225,0.8916,0.0255
2.241,0.9011,0.0255
2.257,0.9077,0.0255
2.272,0.9143,0.0264
2.289,0.9181,0.0274
2.306,0.9237,0.0274
2.322,0.9294,0.0274
2.34,0.9332,0.0274
2.356,0.9379,0.0274
2.373,0.9445,0.0274
2.389,0.9454,0.0274
2.406,0.9492,0.0255
2.423,0.953,0.0246
2.439,0.9558,0.0236
2.456,0.9587,0.0227
2.472,0.9634,0.0217
2.49,0.9662,0.0217
2.506,0.9681,0.0217
2.522,0.9709,0.0217
2.539,0.9738,0.0217
2.557,0.9747,0.0217
2.574,0.9757,0.0217
2.59,0.9766,0.0217
2.607,0.9766,0.0217
2.623,0.9776,0.0217
2.639,0.9785,0.0217
2.656,0.9794,0.0217
2.672,0.9794,0.0217
2.69,0.9813,0.0217
2.706,0.9823,0.0217
2.723,0.9832,0.0217
2.74,0.9842,0.0227
2.756,0.9851,0.0227
2.774,0.9861,0.0227
2.79,0.987,0.0227
2.806,0.9879,0.0227
