# type=grids viewport=1280x720 start=631,468 end=753,460 direction=grid_hop
t,rx,ry
0,0,0
0.391,0.0084,0
0.398,0.0252,0
0.415,0.0503,0
0.43,0.109,0
0.448,0.2012,0
0.464,0.3438,0
0.481,0.4611,0.0335
0.497,0.5701,0.0587
0.514,0.6204,0.0671
0.53,0.6372,0.0754
0.547,0.6456,0.0754
0.564,0.654,0.0754
0.581,0.654,0.0838
0.632,0.654,0.0838
0.639,0.6624,0.0838
0.651,0.6708,0.0838
0.665,0.6875,0.0754
0.681,0.7714,0.0671
0.697,0.8384,0.0587
0.714,0.9055,0.0503
0.731,0.9726,0.0419
0.746,1.0061,0.0419
0.763,1.0481,0.0335
0.78,1.0648,0.0335
0.798,1.0816,0.0335
0.814,1.0816,0.0335
0.83,1.0816,0.0335
1.05,1.09,0.0335
1.053,1.09,0.0335
1.065,1.09,0.0335
1.08,1.0984,0.0251
1.097,1.0984,0.0251
1.113,1.1067,0.0251
1.131,1.1067,0.0251
1.157,1.1067,0.0168
1.165,1.1067,0.0168
1.18,1.1067,0.0168
1.198,1.09,0
1.214,1.0648,-0.0084
1.231,1.0397,-0.0251
1.246,1.0145,-0.0251
1.263,1.0061,-0.0251
1.28,1.0061,-0.0335
1.297,1.0061,-0.0335
1.517,0.9977,-0.0335
1.523,0.9977,-0.0335
1.533,0.9894,-0.0335
1.548,0.9726,-0.0335
1.566,0.9474,-0.0335
1.582,0.9139,-0.0335
1.597,0.8888,-0.0419
1.615,0.872,-0.0419
1.63,0.8636,-0.0419
1.647,0.8636,-0.0419
1.663,0.8636,-0.0419
1.68,0.8636,-0.0419
1.732,0.8636,-0.0419
1.956,0.8636,-0.0419
1.964,0.872,-0.0419
1.98,0.8804,-0.0419
1.997,0.8971,-0.0419
2.014,0.9139,-0.0419
2.03,0.9391,-0.0419
2.047,0.9558,-0.0419
2.063,0.9726,-0.0503
2.08,0.9726,-0.0503
2.097,0.981,-0.0587
2.114,0.9894,-0.0671
2.13,0.9977,-0.0671
2.147,0.9977,-0.0671
