# type=holds viewport=1280x720
t,dx,dy
0,0,0
0.014,0,0
0.318,0,0
0.333,0,0
0.35,1,0
0.368,3.1,1
0.382,4.1,2
0.398,4.1,2
0.415,5.1,2
0.481,5.1,2
0.55,5.1,2
0.814,6.1,2
0.833,6.1,2
0.85,6.1,2
0.864,6.1,2
0.882,6.1,2
0.897,7.2,1
0.915,7.2,1
0.933,7.2,1
0.949,7.2,1
0.965,7.2,1
0.982,7.2,0
0.997,7.2,0
1.015,7.2,0
1.049,7.2,0
1.116,7.2,-1
1.35,7.2,-1
1.366,8.2,-1
1.381,8.2,-2
1.416,8.2,-2
1.433,8.2,-2
1.45,8.2,-2
1.483,9.2,-2
1.515,9.2,-2
1.581,9.2,-2
1.617,9.2,-3.1
1.633,9.2,-3.1
1.65,9.2,-3.1
1.665,9.2,-3.1
1.867,9.2,-3.1
1.966,9.2,-3.1
1.981,9.2,-3.1
1.998,9.2,-3.1
2.016,9.2,-3.1
2.033,9.2,-3.1
2.051,9.2,-3.1
2.064,8.2,-3.1
2.081,8.2,-2
2.116,8.2,-2
2.318,7.2,-2
2.35,7.2,-2
2.365,7.2,-2
2.401,7.2,-2
2.434,6.1,-2
2.45,6.1,-2
2.483,6.1,-2
2.514,5.1,-2
2.717,5.1,-2
3.084,5.1,-2
3.116,5.1,-2
3.132,5.1,-2
3.15,5.1,-2
3.167,5.1,-2
3.182,6.1,-2
3.266,6.1,-1
3.334,6.1,-1
3.383,6.1,-1
3.466,6.1,-1
5.234,6.1,-2
5.817,6.1,-2
5.866,6.1,-2
5.916,6.1,-2
8.25,6.1,-2
9.048,6.1,-2
9.133,7.2,-2
9.214,7.2,-2
9.716,7.2,-2
9.766,7.2,-2
10.501,7.2,-2
11.514,7.2,-2
11.567,7.2,-2
11.599,7.2,-2
11.682,7.2,-2
11.765,7.2,-2
11.833,7.2,-1
