# type=idles viewport=1280x720
t,dx,dy
0.014,0,0
0.034,-1,-2
0.046,-3.1,-5.1
0.062,-4.1,-8.2
0.08,-6.1,-11.2
0.097,-7.2,-13.3
0.113,-8.2,-15.3
0.129,-8.2,-15.3
0.147,-9.2,-16.3
0.864,-9.2,-15.3
0.895,-8.2,-15.3
0.904,-8.2,-15.3
0.92,-8.2,-15.3
0.935,-8.2,-15.3
0.945,-8.2,-15.3
0.962,-7.2,-15.3
0.978,-7.2,-15.3
0.995,-6.1,-14.3
1.012,-5.1,-14.3
1.029,-5.1,-14.3
1.047,-4.1,-14.3
1.064,-4.1,-14.3
1.079,-3.1,-14.3
1.096,-3.1,-14.3
1.112,-3.1,-13.3
1.311,-3.1,-13.3
1.318,-2,-13.3
1.332,-2,-13.3
1.346,-2,-13.3
1.369,-1,-12.3
1.38,-1,-12.3
1.396,0,-12.3
1.413,0,-12.3
1.429,0,-12.3
1.446,1,-12.3
1.47,1,-12.3
1.486,1,-12.3
1.502,1,-12.3
1.518,2,-12.3
2.399,2,-12.3
2.406,2,-12.3
2.418,2,-12.3
2.437,3.1,-12.3
2.447,3.1,-12.3
2.463,3.1,-12.3
2.48,3.1,-12.3
2.496,4.1,-12.3
2.514,4.1,-12.3
2.59,4.1,-12.3
2.622,4.1,-12.3
2.655,5.1,-12.3
3.101,5.1,-12.3
3.125,5.1,-12.3
