# type=paths viewport=1280x720 start=1246,692 end=640,396 direction=to_center_from_br
t,rx,ry
0,0,0
0.016,0.0253,0.0482
0.034,0.0388,0.0689
0.05,0.0522,0.0861
0.067,0.0573,0.093
0.085,0.0607,0.0965
0.102,0.0607,0.0965
0.192,0.0607,0.093
0.201,0.0607,0.0861
0.216,0.0607,0.0827
0.235,0.0607,0.0655
0.25,0.0607,0.0551
0.267,0.059,0.0448
0.283,0.059,0.0413
0.301,0.059,0.0379
0.435,0.059,0.0379
0.728,0.0607,0.0379
0.735,0.0623,0.0345
0.751,0.0657,0.0276
0.768,0.0708,0.0207
0.784,0.0758,0.0138
0.801,0.0775,0.0103
0.816,0.0792,0.0069
0.833,0.0809,0.0069
0.882,0.0809,0.0103
0.887,0.0809,0.0138
0.899,0.0809,0.0172
1.071,0.0809,0.0172
1.084,0.0842,0.0241
1.086,0.0876,0.031
1.101,0.0927,0.0413
1.117,0.1011,0.0551
1.134,0.1129,0.0758
1.15,0.1297,0.1034
1.167,0.1466,0.124
1.184,0.1634,0.1378
1.201,0.1803,0.1516
1.216,0.1904,0.1585
1.232,0.2005,0.1688
1.439,0.2005,0.1688
1.452,0.2056,0.1688
1.467,0.2174,0.1723
1.484,0.2342,0.186
1.501,0.2612,0.2102
1.517,0.3117,0.255
1.534,0.3639,0.3101
1.549,0.4162,0.3652
1.566,0.4566,0.4134
1.582,0.4785,0.4444
1.601,0.5038,0.4789
1.618,0.5173,0.5099
1.634,0.5257,0.5271
1.879,0.5257,0.5271
1.887,0.5291,0.5306
1.902,0.5358,0.5375
1.918,0.5493,0.5581
1.933,0.5661,0.5754
1.95,0.5931,0.5995
1.966,0.6285,0.6202
1.983,0.6706,0.627
2,0.7144,0.6339
2.016,0.7582,0.6374
2.033,0.7987,0.6443
2.052,0.8408,0.6649
2.066,0.8644,0.6925
2.083,0.8829,0.7201
2.101,0.8947,0.7511
2.294,0.8964,0.7683
2.302,0.8997,0.7821
2.318,0.9031,0.7959
2.335,0.9099,0.8269
2.351,0.9132,0.851
2.366,0.9149,0.8648
2.383,0.9183,0.8717
2.401,0.9217,0.882
2.416,0.925,0.8889
2.433,0.9334,0.8958
2.449,0.9385,0.8992
2.466,0.9452,0.9096
2.483,0.952,0.9165
2.5,0.957,0.9268
2.516,0.9621,0.9337
2.533,0.9655,0.9406
2.549,0.9671,0.9406
2.567,0.9671,0.944
2.582,0.9688,0.944
2.6,0.9688,0.944
2.637,0.9688,0.944
2.662,0.9705,0.944
2.669,0.9705,0.944
2.683,0.9705,0.944
2.699,0.9722,0.9475
2.717,0.9722,0.9475
2.733,0.9739,0.9509
2.751,0.9756,0.9543
2.766,0.9756,0.9612
2.783,0.9789,0.9681
2.8,0.9806,0.975
2.818,0.9823,0.9785
2.833,0.984,0.9819
2.85,0.984,0.9854
2.866,0.9857,0.9854
