# type=paths viewport=1280x720 start=45,68 end=640,396 direction=to_center_from_ul
t,rx,ry
0,0,0
0.017,0,-0.0094
0.034,0,-0.0187
0.049,-0.0017,-0.0281
0.066,-0.0017,-0.0343
0.083,-0.0017,-0.0374
0.1,-0.0017,-0.0436
0.117,-0.0017,-0.0468
0.133,-0.0017,-0.053
0.151,-0.0017,-0.0561
0.167,0,-0.0655
0.188,0.0017,-0.0811
0.2,0.0017,-0.0904
0.216,0.0034,-0.0966
0.233,0.0034,-0.106
0.249,0.0069,-0.1216
0.266,0.0069,-0.1278
0.283,0.0086,-0.1278
0.299,0.0086,-0.1309
0.316,0.0086,-0.1309
0.802,0.0103,-0.1309
0.807,0.0103,-0.1309
0.817,0.0103,-0.1309
0.833,0.0103,-0.1309
0.849,0.012,-0.1309
0.866,0.012,-0.1309
1.279,0.012,-0.1309
1.286,0.0137,-0.1278
1.301,0.0155,-0.1278
1.317,0.0172,-0.1247
1.333,0.0223,-0.1216
1.35,0.0275,-0.1154
1.366,0.0309,-0.1091
1.383,0.0361,-0.106
1.401,0.0395,-0.1029
1.418,0.0429,-0.0966
1.435,0.0481,-0.0935
1.451,0.0498,-0.0904
1.467,0.0532,-0.0873
1.483,0.0567,-0.0842
1.5,0.0601,-0.0811
1.517,0.0652,-0.0748
1.534,0.0721,-0.0655
1.55,0.079,-0.0561
1.566,0.091,-0.0405
1.584,0.0979,-0.0312
1.6,0.1082,-0.0156
1.616,0.1202,-0.0031
1.633,0.1373,0.0156
1.649,0.1528,0.0312
1.666,0.1751,0.0561
1.683,0.1991,0.0811
1.699,0.218,0.1029
1.716,0.2438,0.1278
1.733,0.2661,0.1559
1.75,0.2833,0.1746
1.766,0.3004,0.1902
1.784,0.3056,0.1933
1.8,0.3159,0.1995
1.816,0.3176,0.1995
1.833,0.3176,0.1995
2.11,0.3193,0.1995
2.119,0.3227,0.1995
2.134,0.3262,0.1995
2.151,0.3416,0.1995
2.167,0.3588,0.1995
2.184,0.3742,0.1995
2.201,0.3897,0.2058
2.217,0.4017,0.2182
2.233,0.4172,0.2369
2.25,0.4258,0.2494
2.266,0.4292,0.2588
2.283,0.4361,0.2681
2.298,0.4412,0.2744
2.318,0.4481,0.2837
2.333,0.4567,0.2931
2.349,0.4652,0.3055
2.367,0.4807,0.3211
2.384,0.491,0.3305
2.399,0.4927,0.3336
2.416,0.503,0.3398
2.687,0.5047,0.3398
2.694,0.5099,0.3492
2.701,0.5185,0.3617
2.716,0.5322,0.3835
2.733,0.5665,0.4271
2.751,0.606,0.4739
2.767,0.6335,0.5113
2.783,0.6644,0.5487
2.8,0.6884,0.5737
2.816,0.7142,0.6048
2.833,0.7296,0.6235
2.849,0.7468,0.6516
2.866,0.7674,0.689
2.883,0.7863,0.7202
2.9,0.8017,0.7451
2.917,0.8086,0.7576
2.933,0.8137,0.767
3.19,0.8155,0.767
3.201,0.8172,0.767
3.218,0.8223,0.767
3.233,0.8446,0.7857
3.25,0.8635,0.8075
3.267,0.8876,0.8324
3.283,0.9064,0.8542
3.3,0.9202,0.873
3.316,0.9288,0.8823
3.333,0.9408,0.8917
3.349,0.9425,0.8917
3.367,0.9476,0.8948
3.383,0.9476,0.8979
3.401,0.9511,0.8979
3.417,0.9545,0.901
3.433,0.9579,0.9041
3.449,0.9597,0.9072
3.466,0.9631,0.9104
3.483,0.9648,0.9104
3.5,0.9648,0.9135
3.517,0.9665,0.9135
3.533,0.9682,0.9166
3.549,0.9682,0.9197
3.566,0.97,0.9291
3.585,0.9717,0.9322
3.6,0.9734,0.9415
3.616,0.9751,0.9478
3.633,0.9751,0.9509
3.65,0.9768,0.954
3.666,0.9785,0.9571
3.683,0.9785,0.9634
3.699,0.9803,0.9665
3.716,0.9803,0.9696
3.733,0.9803,0.9696
3.75,0.9803,0.9727
3.767,0.9803,0.9758
3.783,0.9803,0.9758
3.801,0.982,0.979
3.816,0.9837,0.979
3.832,0.9837,0.9821
3.85,0.9837,0.9821
3.866,0.9854,0.9821
3.883,0.9854,0.9852
3.9,0.9871,0.9852
3.917,0.9871,0.9883
3.934,0.9888,0.9883
3.949,0.9888,0.9883
