# type=paths viewport=1280x720 start=1220,47 end=640,396 direction=to_center_from_ur
t,rx,ry
0,0,0
0.016,-0.0035,0.0059
0.034,-0.0053,0.0088
0.05,-0.007,0.0146
0.066,-0.0088,0.0205
0.082,-0.0106,0.0205
0.098,-0.0106,0.0205
0.525,-0.0106,0.0205
0.573,-0.0088,0.0205
0.585,-0.0088,0.0205
0.6,-0.0088,0.0205
0.616,-0.0053,0.0205
0.633,0.0035,0.0205
0.651,0.0088,0.0205
0.667,0.0141,0.0234
0.682,0.0159,0.0234
0.699,0.0176,0.0263
0.716,0.0176,0.0263
0.877,0.0194,0.0263
0.885,0.0194,0.0263
0.899,0.0211,0.0263
0.915,0.0282,0.0293
0.932,0.0423,0.0351
0.949,0.067,0.0527
0.966,0.0987,0.0673
0.982,0.1392,0.0849
0.999,0.1833,0.0995
1.016,0.2167,0.1083
1.032,0.2661,0.117
1.049,0.2767,0.12
1.066,0.2872,0.1229
1.083,0.2907,0.1229
1.252,0.2925,0.1229
1.26,0.296,0.1258
1.269,0.3013,0.1317
1.282,0.3066,0.1375
1.299,0.3207,0.1551
1.315,0.3419,0.1843
1.333,0.3683,0.2282
1.349,0.3982,0.2868
1.366,0.4229,0.3482
1.382,0.437,0.3892
1.399,0.4493,0.4214
1.415,0.4652,0.4565
1.605,0.4652,0.4565
1.617,0.4722,0.4565
1.619,0.4793,0.4565
1.634,0.4846,0.4594
1.649,0.5004,0.4711
1.666,0.5163,0.4857
1.682,0.5498,0.5179
1.699,0.5868,0.5618
1.716,0.6256,0.6028
1.732,0.6502,0.632
1.75,0.6784,0.6613
1.766,0.6925,0.673
1.783,0.7048,0.6818
1.799,0.7137,0.6876
2.004,0.7137,0.6876
2.017,0.7207,0.6935
2.019,0.7278,0.7023
2.034,0.7348,0.714
2.048,0.7507,0.7345
2.065,0.7718,0.7637
2.083,0.8035,0.8047
2.099,0.8335,0.8427
2.116,0.8564,0.872
2.132,0.8775,0.8983
2.15,0.8881,0.9129
2.166,0.9004,0.9217
2.182,0.9093,0.9276
2.2,0.9181,0.9334
2.217,0.9233,0.9334
2.232,0.9286,0.9334
2.248,0.9322,0.9334
2.265,0.9392,0.9334
2.283,0.9463,0.9334
2.299,0.9533,0.9334
2.315,0.9604,0.9334
2.332,0.9656,0.9334
2.349,0.9727,0.9334
2.365,0.9744,0.9364
2.382,0.9744,0.9364
2.399,0.9762,0.9364
2.416,0.978,0.9393
2.432,0.9797,0.9393
2.448,0.9797,0.9422
2.465,0.9815,0.9481
2.482,0.9833,0.951
2.499,0.985,0.9568
2.516,0.985,0.9627
2.533,0.9868,0.9656
2.549,0.9868,0.9715
2.567,0.9885,0.9744
2.583,0.9903,0.9802
2.6,0.9921,0.9802
2.615,0.9921,0.9832
2.632,0.9921,0.9832
