# type=slide_drags viewport=1280x720 start=510,414 end=769,413 mousedown_t=1.535
t,rx,ry
0,-0.0709,0.1694
0.016,-0.067,0.1694
0.034,-0.063,0.1694
0.051,-0.063,0.1655
0.069,-0.063,0.1655
0.085,-0.063,0.1655
0.102,-0.063,0.1615
0.117,-0.063,0.1497
0.134,-0.063,0.1339
0.151,-0.063,0.1064
0.169,-0.063,0.0788
0.184,-0.0552,0.0512
0.2,-0.0512,0.0355
0.217,-0.0433,0.0276
0.234,-0.0433,0.0236
0.251,-0.0394,0.0236
0.277,-0.0394,0.0197
0.292,-0.0394,0.0197
0.309,-0.0394,0.0197
0.318,-0.0355,0.0197
0.336,-0.0355,0.0197
0.353,-0.0355,0.0197
0.367,-0.0355,0.0197
0.384,-0.0355,0.0197
0.645,-0.0315,0.0197
0.653,-0.0236,0.0158
0.67,-0.0197,0.0118
0.686,-0.0118,0.0079
0.702,-0.0039,0.0039
0.719,0,0.0039
0.735,0.0039,0
0.753,0.0118,-0.0039
0.769,0.0158,-0.0079
0.785,0.0197,-0.0118
0.801,0.0197,-0.0118
0.819,0.0236,-0.0158
0.835,0.0236,-0.0158
0.853,0.0236,-0.0158
0.869,0.0236,-0.0158
0.886,0.0276,-0.0158
0.902,0.0276,-0.0158
0.919,0.0276,-0.0158
0.934,0.0315,-0.0158
0.952,0.0355,-0.0158
0.968,0.0394,-0.0158
0.983,0.0473,-0.0158
1.001,0.0512,-0.0158
1.017,0.0552,-0.0158
1.034,0.0552,-0.0158
1.051,0.0552,-0.0158
1.121,0.0552,-0.0158
1.123,0.0552,-0.0118
1.136,0.0512,-0.0118
1.152,0.0433,-0.0118
1.168,0.0394,-0.0118
1.185,0.0315,-0.0079
1.201,0.0276,-0.0079
1.218,0.0236,-0.0079
1.235,0.0197,-0.0079
1.251,0.0158,-0.0079
1.268,0.0158,-0.0039
1.285,0.0118,-0.0039
1.302,0.0079,-0.0039
1.318,0.0079,-0.0039
1.334,0.0039,0
1.35,0,0
1.367,0,0
1.383,0,0
1.535,0,0
1.802,0,0
1.823,0,0
1.835,0.0039,0
1.864,0.0079,0
1.867,0.0118,0
1.884,0.0118,0
1.901,0.0158,0
1.917,0.0158,0
1.934,0.0197,0
1.951,0.0236,0
1.968,0.0315,0
1.987,0.0394,0
2.001,0.0473,0
2.018,0.0552,0
2.036,0.0591,0
2.051,0.063,0
2.068,0.067,0
2.086,0.0709,0
2.101,0.0709,0
2.12,0.0749,0
2.134,0.0749,0
2.151,0.0749,0
2.168,0.0788,0
2.185,0.0788,0
2.202,0.0788,0
2.218,0.0827,0
2.235,0.0867,0
2.254,0.0906,0
2.271,0.0985,0
2.286,0.1143,0
2.303,0.134,0
2.318,0.1576,0
2.334,0.1891,0
2.352,0.2167,0
2.368,0.2404,0
2.384,0.2601,0
2.401,0.2719,0
2.418,0.2798,0
2.436,0.2798,0
2.585,0.2837,0
2.604,0.2877,0
2.618,0.2995,0
2.636,0.3192,0
2.659,0.3546,0
2.668,0.3901,0
2.686,0.4295,0
2.702,0.4689,0
2.719,0.5004,0
2.736,0.528,0
2.753,0.5517,0
2.769,0.5635,0
2.784,0.5753,0
2.803,0.5792,0
2.82,0.5792,0
2.985,0.5832,0
3.004,0.5832,0
3.022,0.5911,0
3.043,0.6108,0
3.054,0.6305,0
3.069,0.6462,0
3.086,0.6659,0
3.102,0.6817,0
3.118,0.6935,0
3.137,0.7053,0
3.153,0.7093,0
3.168,0.7132,0
3.186,0.7172,0
3.203,0.7211,0
3.219,0.7211,0
3.236,0.725,0.0039
3.253,0.729,0.0039
3.269,0.7369,0.0039
3.286,0.7526,0.0079
3.305,0.7723,0.0079
3.319,0.796,0.0118
3.335,0.8196,0.0118
3.353,0.8393,0.0158
3.369,0.8551,0.0158
3.384,0.8669,0.0158
3.402,0.8748,0.0158
3.418,0.8787,0.0158
3.437,0.8827,0.0158
3.47,0.8827,0.0158
3.535,0.8827,0.0158
3.555,0.8866,0.0158
3.569,0.8905,0.0158
3.587,0.8945,0.0158
3.608,0.9024,0.0158
3.62,0.9142,0.0158
3.636,0.9221,0.0158
3.653,0.9299,0.0158
3.669,0.9339,0.0158
3.685,0.9378,0.0158
3.702,0.9418,0.0118
3.72,0.9496,0.0118
3.735,0.9496,0.0079
3.754,0.9536,0.0079
3.77,0.9536,0.0079
3.854,0.9575,0.0079
3.87,0.9575,0.0039
3.887,0.9575,0.0039
3.904,0.9615,0.0039
3.921,0.9654,0.0039
3.936,0.9693,0.0039
3.952,0.9733,0.0039
3.969,0.9772,0.0039
3.987,0.9772,0.0039
4.002,0.9812,0.0039
4.021,0.9812,0.0039
4.07,0.9812,0.0039
4.085,0.9851,0.0039
4.103,0.9851,0.0039
4.12,0.989,0.0039
4.136,0.989,0.0039
4.153,0.989,0.0039
4.17,0.993,0.0039
4.187,0.993,0.0039
4.204,0.993,0.0039
4.236,0.993,0.0039
4.269,0.9969,0.0039
4.321,0.9969,0.0039
4.336,0.9969,0.0039
4.353,0.9969,0.0039
4.37,1.0009,0.0039
4.387,1.0009,0.0039
4.437,1.0009,0.0039
4.603,1.0009,0.0039
